,tweet_id,original_tweet_id,original_tweet_user,date_time,user_id,username,followers,friends,user_description,statuses,text,nr_likes,users_likes,nr_RT,entities
229,811932023380209664,,,2016-12-22 13:50:53,3175864365,HelderSchrift,20,31,Tekstbureau voor best practises - renovatie/nieuwbouw - exploitatie - inrichting - opdrachtgeverschap - binnenmilieu - comfort - gezondheid - samenwerking.,99,Vanaf april 2017 strengere eisen #luchtkwaliteit en #ventilatie in alle po-scholen. CO2-meter verplicht in elke klas! Art. 7.23 Bouwbesluit,2,RensonWorldwide;co2indicator,4,"{'symbols': [], 'hashtags': [{'indices': [33, 48], 'text': 'luchtkwaliteit'}, {'indices': [52, 63], 'text': 'ventilatie'}], 'user_mentions': [], 'urls': []}"
233,817070096392867841,,,2017-01-05 18:07:46,2154022227,MikeTurenhout,206,189,Researcher LEI Wageningen UR | #Fisheries | #Visserij | #Aquaculture | Innovation | Sustainability |Socio-Econonomic Research,203,"Overzicht economische impact pulsvisserij in Nederland. Beter resultaat, minder brandstof en uitstoot CO2.

 https://t.co/XWamzxxR6X",3,Brita_T;visserijnieuws;MDVisserij,3,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/XWamzxxR6X', 'expanded_url': 'http://www.wur.nl/nl/Expertises-Dienstverlening/Onderzoeksinstituten/Economic-Research/show/Omschakeling-naar-pulsvisserij-betekent-hogere-winst.htm', 'indices': [109, 132], 'display_url': 'wur.nl/nl/Expertises-…'}]}"
245,816647346939379714,,,2017-01-04 14:07:54,1550099521,JeanetteHamster,227,163,Shell/Woordvoering/Corporate and government affairs/Duurzaamheid/Innovatie/Onderwijs/Toekomst van energie/Upstream Americas,500,.@Shell_Nederland: hergebruik van industriële CO2 door tuinders. https://t.co/kA2Xem71wT via @duurzaamBV,0,[],1,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '950080579', 'screen_name': 'Shell_Nederland', 'id': 950080579, 'name': 'Shell Nederland', 'indices': [1, 17]}, {'id_str': '81643959', 'screen_name': 'DuurzaamBV', 'id': 81643959, 'name': 'DrzmBedrijfsleven.nl', 'indices': [93, 104]}], 'urls': [{'url': 'https://t.co/kA2Xem71wT', 'expanded_url': 'http://www.duurzaambedrijfsleven.nl/circulaire-economie/20109/business-check-up-hergebruik-van-industriele-co2', 'indices': [65, 88], 'display_url': 'duurzaambedrijfsleven.nl/circulaire-eco…'}]}"
251,373395531151998976,,,2013-08-30 10:43:26,409546166,duurzaaminkoop,231,503,Resultaat Nu en in Toekomst door Duurzaam Inkoop Cradle to Cradle en Biobased Interieurbouw Meubel,259,Wanneer stopt #vinklisse met versturen catalogussen? 52% minder co2 uitstoot door innovatief drukken? 100% is haalbaar door niet drukken!,0,[],1,"{'symbols': [], 'hashtags': [{'indices': [14, 24], 'text': 'vinklisse'}], 'user_mentions': [], 'urls': []}"
257,817049094942232576,,,2017-01-05 16:44:18,217528943,Martinvanwyk,219,474,Agriculture & Business Development,214,"Landbou verwagtinge in 2017. Repokoers 7% on verander, Groeikoers 1,1% op van 0,5%, Groter mielie aanplanting. Bete… https://t.co/CkWEwwfhWz",0,[],1,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/CkWEwwfhWz', 'expanded_url': 'https://twitter.com/i/web/status/817049094942232576', 'indices': [117, 140], 'display_url': 'twitter.com/i/web/status/8…'}]}"
279,807243997211136000,,,2016-12-09 15:22:21,761105431,VanUdenLT,872,1293,dit twitter account gaat binnenkort sluiten. volg ons op @nedcargo.,3757,Achteruit parkeren. Nieuwe stijl. # innenvaart #filevrij #co2 https://t.co/YabRHoI4O6,18,BinnenvaartND;ribootje;AndreOrgelgek;Nedcargo;DAntvelink;ELAINEpeffer;D1sjuh;RemcoPikaart;DonaldBaan;NCCO2020;BargeBorn;vriendin_van;MarineAirSystem;jvdreest;oudenmg;joannesoorburg,11,"{'symbols': [], 'hashtags': [{'indices': [47, 56], 'text': 'filevrij'}, {'indices': [57, 61], 'text': 'co2'}], 'user_mentions': [], 'media': [{'sizes': {'large': {'w': 1024, 'resize': 'fit', 'h': 576}, 'thumb': {'w': 150, 'resize': 'crop', 'h': 150}, 'medium': {'w': 600, 'resize': 'fit', 'h': 338}, 'small': {'w': 340, 'resize': 'fit', 'h': 191}}, 'display_url': 'pic.twitter.com/YabRHoI4O6', 'indices': [62, 85], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/807243867787509761/pu/img/v2fjBC6phtZFdYBE.jpg', 'url': 'https://t.co/YabRHoI4O6', 'type': 'photo', 'id_str': '807243867787509761', 'expanded_url': 'https://twitter.com/VanUdenLT/status/807243997211136000/video/1', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/807243867787509761/pu/img/v2fjBC6phtZFdYBE.jpg', 'id': 807243867787509761}], 'urls': []}"
281,799548470474510336,,,2016-11-18 09:43:04,19388229,milieudefensie,9119,1468,"Anders kijken, anders kiezen.",11948,"Wat een verschil! Als je auto's inruilt voor ander transport! Dikke pluspunten voor #luchtkwaliteit, #ruimtegebruik… https://t.co/FR53f6dzs5",23,PieterGrootendo;LowCarDietNL;SigridDassen;bio_vincent;roosvonk;Klimaatcombi;mirthe;sawyou4;martiendas;AnoukSchonau;Salmschloss;cycle_hack;ArieFolkers;AirteqAdvies;emilyjanelowe;tombrouwers;bijenbrigade;FbLeideneo;JenanMatti;fiederels;ArjanDvdMeer;FietskoeriersNL,51,"{'symbols': [], 'hashtags': [{'indices': [84, 99], 'text': 'luchtkwaliteit'}, {'indices': [101, 115], 'text': 'ruimtegebruik'}], 'user_mentions': [], 'urls': [{'url': 'https://t.co/FR53f6dzs5', 'expanded_url': 'https://twitter.com/i/web/status/799548470474510336', 'indices': [117, 140], 'display_url': 'twitter.com/i/web/status/7…'}]}"
286,814733464624840708,,,2016-12-30 07:22:49,112823892,Klimaatzuster,7397,5202,"Iedereen is klimaatzuster: 50% uitstoot broeikasgassen heb je zelf in de hand! Oa campaigner @klimaatverbond, introductie @zonatlas Nu: @ecf4u & @warmetruiendag",39540,Ondertussen in NL: gebiologeerd staren naar de #asfaltmeter #400ppm #co2  https://t.co/rjN2V9Q3Um,3,KarelBrits;fschuurk;anne_knol,4,"{'symbols': [], 'hashtags': [{'indices': [47, 59], 'text': 'asfaltmeter'}, {'indices': [60, 67], 'text': '400ppm'}, {'indices': [68, 72], 'text': 'co2'}], 'user_mentions': [], 'urls': [{'url': 'https://t.co/rjN2V9Q3Um', 'expanded_url': 'https://twitter.com/350/status/814197315871342592', 'indices': [74, 97], 'display_url': 'twitter.com/350/status/814…'}]}"
290,816564094471901184,,,2017-01-04 08:37:05,86508740,rolandkok,1092,1943,Developing Markets in (Renewable) Energy | Green Gas / Biomass | working at Essent/innogy | Energy realist | Drives (bio)CNG car | Think big!,9986,Groen Gas Almere gaat spoedig starten met productie (en levert aan Essent). Ook spoedige CO2-levering aan tuinbouw. https://t.co/FRxUKMjy3r,1,EllingR,5,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/FRxUKMjy3r', 'expanded_url': 'http://www.visieopflevoland.nl/expert/groengas-in-almere', 'indices': [116, 139], 'display_url': 'visieopflevoland.nl/expert/groenga…'}]}"
291,816026060991111168,,,2017-01-02 20:59:08,498730414,wijnandj,133,175,,644,"Zeer uitgebreid artikel over CO2-reductie in het wegvervoer. Complex, maar zeker mogelijkheden. https://t.co/xdNC0ehPbN",2,itsmydrive;ACEA_eu,1,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/xdNC0ehPbN', 'expanded_url': 'https://twitter.com/acea_eu/status/815841115035275264', 'indices': [96, 119], 'display_url': 'twitter.com/acea_eu/status…'}]}"
