,tweet_id,date_time,user_id,username,response_to_user_id,response_to_username,response_to_status_id
330,819662259588694016,2017-01-12 21:48:05,244681726,unclepete_100,56672123,Vision23,819651260756455425
331,817831006241746948,2017-01-07 20:31:21,2800506162,PeterDeVoogt,56672123,Vision23,817425487379177472
332,820651414821212166,2017-01-15 15:18:38,38182445,petrakramer,16832586,mikofLohr,820649652672413698
333,820650181712576512,2017-01-15 15:13:44,16832586,mikofLohr,16832586,mikofLohr,820649652672413698
334,820649994055221248,2017-01-15 15:13:00,4872801537,__Stranger_2,16832586,mikofLohr,820649652672413698
335,820649813758898179,2017-01-15 15:12:17,114752114,mmeeuw,16832586,mikofLohr,820649652672413698
336,818936945896288256,2017-01-10 21:45:57,16040216,srobijns,2720106293,TanguyTerlinden,818927589947482112
337,820756096927363072,2017-01-15 22:14:37,238187735,elstenhengel,97662093,roosvonk,820654889906962433
338,820661099917873154,2017-01-15 15:57:08,4091188671,Jeannet07399596,97662093,roosvonk,820654889906962433
339,820655470784446464,2017-01-15 15:34:45,241838535,hansmarsk,97662093,roosvonk,820654889906962433
340,820628833074343937,2017-01-15 13:48:55,2586276423,Natuur_Nature,97662093,roosvonk,820627557288673280
341,820628281078796289,2017-01-15 13:46:43,97662093,roosvonk,97662093,roosvonk,820627557288673280
342,820554839595896832,2017-01-15 08:54:53,431676915,AnnekeNaafs,97662093,roosvonk,820547055374495745
343,820550198535536640,2017-01-15 08:36:27,168732225,robbuiter,97662093,roosvonk,820547055374495745
344,820393438122283009,2017-01-14 22:13:32,472932039,emmahoeveml,97662093,roosvonk,820194742726262784
345,820228589140475904,2017-01-14 11:18:29,814880173061509120,Gerrit163,97662093,roosvonk,820194742726262784
346,817668865840869376,2017-01-07 09:47:03,4691387052,wijgaanopreis,816192034868527104,strandhuysnerja,817657938793918464
347,820269531004289024,2017-01-14 14:01:10,3190022356,CommentTarista,560951807,BeterLeefmilieu,820259674498809856
348,820260696898371585,2017-01-14 13:26:04,1530103350,RonnieBelmans,560951807,BeterLeefmilieu,820259674498809856
349,818923511028871170,2017-01-10 20:52:34,101253661,tommikkers,110742865,DavidRenkema,818923258015842304
350,820343199675908096,2017-01-14 18:53:54,420964739,RegioAlkmaar,138140672,greenportnhn,819897073369804800
351,819572162944204801,2017-01-12 15:50:05,1947161,dimitri,16578497,tacoold,819570819152150529
352,819305702426558468,2017-01-11 22:11:16,98394069,44Bart44,80092579,DSteenhorst,819266583013036033
353,819881807009239040,2017-01-13 12:20:30,1284264709,MSangers1,149047601,eventjes,819880618964066304
354,819142731746471936,2017-01-11 11:23:40,1704685537,smartonderwijs,2405066000,OuderschapNieuw,819137017493733376
355,817497702581829633,2017-01-06 22:26:55,18740032,koencarels,2873905618,BertDeWel,817437113461473282
356,817459109893173253,2017-01-06 19:53:34,1366879476,newparadigm21,2873905618,BertDeWel,817437113461473282
357,817438941611720704,2017-01-06 18:33:25,53351842,geschept,2873905618,BertDeWel,817437113461473282
358,817754524484071424,2017-01-07 15:27:26,711161735986716672,riekesbakkes,2686086289,Lahqbar,817704498416205824
359,817706072135831553,2017-01-07 12:14:54,282206819,merlijn4,2686086289,Lahqbar,817704498416205824
360,817705049778487301,2017-01-07 12:10:50,1030680751,Patrick4all,2686086289,Lahqbar,817704498416205824
361,817705017482297344,2017-01-07 12:10:43,164214064,815ToNoWhere,2686086289,Lahqbar,817704498416205824
362,819894493944180738,2017-01-13 13:10:54,59921240,Twundit,702580303534153729,EnergyHubWest,819861551909838848
363,819074702354370561,2017-01-11 06:53:21,121372044,NS_online,19918676,tomgreep,819073014218313728
364,819074406035193858,2017-01-11 06:52:10,3012908548,evertveenendaal,19918676,tomgreep,819073014218313728
365,820032439624024066,2017-01-13 22:19:03,4877575011,Joestvscharmer,1559993359,TheoJans1,820029504739536896
366,818949272607621122,2017-01-10 22:34:56,806220189062795264,anjosje2,249804550,pulpdeluukse,818742562102054912
367,819987233872773120,2017-01-13 19:19:25,4715340387,DannyNLD73,4715340387,DannyNLD73,819985271924072449
368,819121801448091649,2017-01-11 10:00:30,99464468,superjamespond,3147651,tijd,819121437260664833
369,819700917339652096,2017-01-13 00:21:42,113731511,mistraller,230213875,olino_duurzaam,819126296932401153
370,819154393585041408,2017-01-11 12:10:01,60013284,frisian1,230213875,olino_duurzaam,819126296932401153
371,819053700509483009,2017-01-11 05:29:54,188451000,theodoorhongens,135929195,OBSWest,818899728951713792
372,819476776384663552,2017-01-12 09:31:03,3457355656,bagvermeulen,2801925384,FluxEnergie,819453886905749504
373,819126883698753536,2017-01-11 10:20:42,254709893,hans_m_kol,2801925384,FluxEnergie,819120024858361857
374,818503486027481088,2017-01-09 17:03:32,87658314,jeeveehaa,54936488,tasvolverhalen,818432232444624896
375,818471938356105221,2017-01-09 14:58:11,60372999,anitaei,54936488,tasvolverhalen,818432232444624896
376,818456660511485952,2017-01-09 13:57:28,301413480,dutchdude070,54936488,tasvolverhalen,818432232444624896
377,818440620733829120,2017-01-09 12:53:44,250314284,HannekeBuu,54936488,tasvolverhalen,818432232444624896
378,818439987238760449,2017-01-09 12:51:13,2486663957,JackMexicana,54936488,tasvolverhalen,818432232444624896
379,818432628709847041,2017-01-09 12:21:59,155671290,Druifluisje,54936488,tasvolverhalen,818432232444624896
380,819457456287973376,2017-01-12 08:14:17,121372044,NS_online,23422299,Moorlag,819446988693471232
381,818940953608257536,2017-01-10 22:01:53,34910433,Jordyonajourney,49304624,liescorneillie,818718364025704449
382,818914830228844547,2017-01-10 20:18:04,4925340640,Aldo_Peeters,49304624,liescorneillie,818718364025704449
383,818838415911157760,2017-01-10 15:14:26,424292131,Mootlife,49304624,liescorneillie,818718364025704449
384,818824904493723648,2017-01-10 14:20:44,463185953,dakowsk,49304624,liescorneillie,818718364025704449
385,818749834698096641,2017-01-10 09:22:26,20909514,xavez,49304624,liescorneillie,818718364025704449
386,818738322323492864,2017-01-10 08:36:42,375849358,PieterJan16,49304624,liescorneillie,818718364025704449
387,818721312810160128,2017-01-10 07:29:06,49304624,liescorneillie,49304624,liescorneillie,818718364025704449
388,817507790025555971,2017-01-06 23:07:00,108330229,Krid_Stems,385886369,dekoran1,817501593130176518
