,index,tweet_id,original_tweet_id,original_tweet_user,date_time,user_id,username,followers,friends,user_description,statuses,text,nr_likes,users_likes,nr_RT,entities,nr_responses,users_responses
1287,1526,819647343679127552,819645728167497729,Scapeler,2017-01-12 20:48:49,92511984,Monalisazelf,1154,2909,"Twitterbirdwatcher
Learning all the time
Retweets and links are not (ipso facto) endorsements",189913,RT @Scapeler: #houtrook piekjes op de #dylos en opvallende shift #CO2 https://t.co/mdQe0S8rQG,0,[],3,"{'symbols': [], 'hashtags': [{'indices': [14, 23], 'text': 'houtrook'}, {'indices': [38, 44], 'text': 'dylos'}, {'indices': [65, 69], 'text': 'CO2'}], 'user_mentions': [{'id_str': '2781732464', 'screen_name': 'Scapeler', 'id': 2781732464, 'name': 'Scapeler', 'indices': [3, 12]}], 'media': [{'source_user_id': 2781732464, 'source_status_id_str': '819645728167497729', 'media_url': 'http://pbs.twimg.com/media/C1_28A_XUAA0ZBl.jpg', 'display_url': 'pic.twitter.com/mdQe0S8rQG', 'source_status_id': 819645728167497729, 'id_str': '819645168123072512', 'expanded_url': 'https://twitter.com/Scapeler/status/819645728167497729/photo/1', 'source_user_id_str': '2781732464', 'id': 819645168123072512, 'url': 'https://t.co/mdQe0S8rQG', 'sizes': {'large': {'w': 1572, 'resize': 'fit', 'h': 846}, 'thumb': {'w': 150, 'resize': 'crop', 'h': 150}, 'medium': {'w': 1200, 'resize': 'fit', 'h': 646}, 'small': {'w': 680, 'resize': 'fit', 'h': 366}}, 'indices': [70, 93], 'type': 'photo', 'media_url_https': 'https://pbs.twimg.com/media/C1_28A_XUAA0ZBl.jpg'}], 'urls': []}",,
1288,1529,819646970880987136,,,2017-01-12 20:47:20,637024704,ZZPGemak,42400,13604,Informatie voor de zzp. Fiscale tips | Marketing | Zoekmachine optimalisatie | Social Media | Wetgeving en meer.,36601,Wereldwijd belasting op benzine lager – ondanks klimaat https://t.co/gSKIkvvGd8,0,[],1,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/gSKIkvvGd8', 'expanded_url': 'http://ift.tt/2ilisA8', 'indices': [56, 79], 'display_url': 'ift.tt/2ilisA8'}]}",,
1289,1530,819646755692285952,819477559159164928,KeesvDaalen,2017-01-12 20:46:29,151843005,geothermie_nl,372,53,,296,RT @KeesvDaalen: De stap naar ultradiepe geothermie en ondergrondse CO2 opslag is essentieel om van aardgas af te kunnen komen: https://t.c…,0,[],6,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '409129924', 'screen_name': 'KeesvDaalen', 'id': 409129924, 'name': 'Kees van Daalen', 'indices': [3, 15]}], 'urls': []}",,
1290,1531,819646713984118784,815864109333889024,gjvu,2017-01-12 20:46:19,401430670,fampoes,540,2963,"Ga niet zitten wachten op een goede dag, maar maak er zelf één!. Pluk de dag. Hekel aan zeikerds. Stukadoor zijn is vaak leuk. koud douchen en lach eens.🙏🙏🙏",18167,"RT @gjvu: #NPO1 Gelukkig weet Dhr. Freek de Jonge alles van duurzame energie, klimaat en Gronings-gas. Samen met Dhr Rotmans. 

Peppi &amp; Kok…",0,[],4,"{'symbols': [], 'hashtags': [{'indices': [10, 15], 'text': 'NPO1'}], 'user_mentions': [{'id_str': '86321285', 'screen_name': 'gjvu', 'id': 86321285, 'name': 'Gert-Jaap van Ulzen', 'indices': [3, 8]}], 'urls': []}",,
1291,1532,819645932312657921,,,2017-01-12 20:43:13,500617780,albertgoudberg,154,222,"Van origine jurist/beeldend kunstenaar/poëet (http://t.co/S4rPlnz1sI Goudberg) Pleitbezorger van aarde, dier en duurzaamheid.",1718,Congo leeft zonder het  te weten op een CO2-bom https://t.co/gPioRDsBqW via @volkskrant,0,[],0,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '3103261', 'screen_name': 'volkskrant', 'id': 3103261, 'name': 'de Volkskrant', 'indices': [76, 87]}], 'urls': [{'url': 'https://t.co/gPioRDsBqW', 'expanded_url': 'http://s.vk.nl/t-a4447400/', 'indices': [48, 71], 'display_url': 's.vk.nl/t-a4447400/'}]}",,
1292,1533,819645873651150848,819505371576410112,KoosWijbenga,2017-01-12 20:42:59,100498989,csbkkr,401,223,"Heerhugowaard - Stad van de Zon, Coöperatie 'Kennemerwind', ODE - Organisatie voor Duurzame Energie.",4277,"RT @KoosWijbenga: Deze komt binnen! @marjanminnesma ""Onze generatie heeft die hoge CO2 veroorzaakt, wij moeten nú zélf aan goede knoppen dr…",0,[],2,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '712870607', 'screen_name': 'KoosWijbenga', 'id': 712870607, 'name': 'Koos Wijbenga', 'indices': [3, 16]}, {'id_str': '198514243', 'screen_name': 'marjanminnesma', 'id': 198514243, 'name': 'Marjan Minnesma', 'indices': [36, 51]}], 'urls': []}",,
1293,1534,819645793955090432,819523418114686976,RoelClement,2017-01-12 20:42:40,1218568729,heerlijkheiddeh,143,141,Biologische zelf oogst tuin voor kleinfruit en groenten.,4126,RT @RoelClement: Veel interesse voor bijeenkomst koolstofvastlegging samen met @BionextTweets @LouisBolk @ZLTO #CO2vastleggen #klimaat http…,0,[],4,"{'symbols': [], 'hashtags': [{'indices': [111, 125], 'text': 'CO2vastleggen'}, {'indices': [126, 134], 'text': 'klimaat'}], 'user_mentions': [{'id_str': '42887244', 'screen_name': 'RoelClement', 'id': 42887244, 'name': 'Roel Clement', 'indices': [3, 15]}, {'id_str': '114463320', 'screen_name': 'BionextTweets', 'id': 114463320, 'name': 'Bionext', 'indices': [79, 93]}, {'id_str': '222762678', 'screen_name': 'LouisBolk', 'id': 222762678, 'name': 'Louis Bolk Instituut', 'indices': [94, 104]}, {'id_str': '130942403', 'screen_name': 'ZLTO', 'id': 130942403, 'name': 'ZLTO', 'indices': [105, 110]}], 'urls': []}",,
1294,1535,819645728167497729,,,2017-01-12 20:42:24,2781732464,Scapeler,252,111,"Creatief en innovatief bezig zijn met IT, Open Data en Open source en zoeken naar kansen voor duurzaamheid in een brede context.",4961,#houtrook piekjes op de #dylos en opvallende shift #CO2 https://t.co/mdQe0S8rQG,0,[],3,"{'symbols': [], 'hashtags': [{'indices': [0, 9], 'text': 'houtrook'}, {'indices': [24, 30], 'text': 'dylos'}, {'indices': [51, 55], 'text': 'CO2'}], 'user_mentions': [], 'media': [{'sizes': {'large': {'w': 1572, 'resize': 'fit', 'h': 846}, 'thumb': {'w': 150, 'resize': 'crop', 'h': 150}, 'medium': {'w': 1200, 'resize': 'fit', 'h': 646}, 'small': {'w': 680, 'resize': 'fit', 'h': 366}}, 'display_url': 'pic.twitter.com/mdQe0S8rQG', 'indices': [56, 79], 'media_url': 'http://pbs.twimg.com/media/C1_28A_XUAA0ZBl.jpg', 'url': 'https://t.co/mdQe0S8rQG', 'type': 'photo', 'id_str': '819645168123072512', 'expanded_url': 'https://twitter.com/Scapeler/status/819645728167497729/photo/1', 'media_url_https': 'https://pbs.twimg.com/media/C1_28A_XUAA0ZBl.jpg', 'id': 819645168123072512}], 'urls': []}",,
1295,1536,819645673490542593,819505371576410112,KoosWijbenga,2017-01-12 20:42:11,230860482,PeHaring,861,1982,"Zero Carbon Footprint, Innovation,  Critical Thinking, Enjoy Food-mainly plants, Family,  (Com)-Passion, Running, Sustainability, D66, Unilever",5127,"RT @KoosWijbenga: Deze komt binnen! @marjanminnesma ""Onze generatie heeft die hoge CO2 veroorzaakt, wij moeten nú zélf aan goede knoppen dr…",0,[],2,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '712870607', 'screen_name': 'KoosWijbenga', 'id': 712870607, 'name': 'Koos Wijbenga', 'indices': [3, 16]}, {'id_str': '198514243', 'screen_name': 'marjanminnesma', 'id': 198514243, 'name': 'Marjan Minnesma', 'indices': [36, 51]}], 'urls': []}",,
1296,1538,819643689320509440,819506647538302976,DrBertSmits,2017-01-12 20:34:18,339629698,EddyBSB,313,319,Zaakvoerder Busbar Systems Belgium,6962,"RT @DrBertSmits: Vraag aan @nva: Hoe hoog mag de all-in elektriciteitsprijs volgens jullie worden omwille van ""klimaat""-doelstellingen / su…",0,[],3,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '720231198988058624', 'screen_name': 'DrBertSmits', 'id': 720231198988058624, 'name': 'Bert Smits', 'indices': [3, 15]}, {'id_str': '17405089', 'screen_name': 'NVA', 'id': 17405089, 'name': 'D e m o n', 'indices': [27, 31]}], 'urls': []}",,
1297,1539,819643023533494272,,,2017-01-12 20:31:39,3291608219,ZwolleAanZee,116,649,"Tweets en retweets vanuit Zwolle over klimaatverandering, energieakkoord, Ruimte voor de Rivier, natuur, natuurwetgeving, N2000, milieu en afval",869,"Waar blijft de aandacht van de politiek?
""Klimaat grootste bedreiging voor de wereld""
#CDA
#VVD
#SP https://t.co/RoNUALORNx",0,[],0,"{'symbols': [], 'hashtags': [{'indices': [86, 90], 'text': 'CDA'}, {'indices': [91, 95], 'text': 'VVD'}, {'indices': [96, 99], 'text': 'SP'}], 'user_mentions': [], 'urls': [{'url': 'https://t.co/RoNUALORNx', 'expanded_url': 'http://www.fluxenergie.nl/klimaat-grootste-bedreiging-wereld/', 'indices': [100, 123], 'display_url': 'fluxenergie.nl/klimaat-groots…'}]}",,
1298,1540,819641802248617984,,,2017-01-12 20:26:48,23435027,NielStaes,1940,1408,Rogue of the Urban Landscape | Information Miner | Fernweh Backpacker | Generation Amiga | Antwerp Guide | Sustainability Blogger @Zeronautbe | Green Immaterial,27377,"De grootste globale risico's.
Rechtsboven: grote kans &amp; impact. Vooral klimaatgerelateerd.
https://t.co/Q1TnesSn6o https://t.co/6IJ0nm53mY",1,TomasWyns,0,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'media': [{'sizes': {'large': {'w': 1600, 'resize': 'fit', 'h': 1573}, 'thumb': {'w': 150, 'resize': 'crop', 'h': 150}, 'medium': {'w': 1200, 'resize': 'fit', 'h': 1180}, 'small': {'w': 680, 'resize': 'fit', 'h': 669}}, 'display_url': 'pic.twitter.com/6IJ0nm53mY', 'indices': [119, 142], 'media_url': 'http://pbs.twimg.com/media/C1_z3yLW8AAinQ4.jpg', 'url': 'https://t.co/6IJ0nm53mY', 'type': 'photo', 'id_str': '819641796892487680', 'expanded_url': 'https://twitter.com/NielStaes/status/819641802248617984/photo/1', 'media_url_https': 'https://pbs.twimg.com/media/C1_z3yLW8AAinQ4.jpg', 'id': 819641796892487680}], 'urls': [{'url': 'https://t.co/Q1TnesSn6o', 'expanded_url': 'http://buff.ly/2j5vBj2', 'indices': [95, 118], 'display_url': 'buff.ly/2j5vBj2'}]}",,
1299,1541,819641432210341888,,,2017-01-12 20:25:20,220800437,WestAudio,136,31,"Sinds 1996 specialist in maatwerk totaal-oplossingen! Wij verhuren geluid, licht en beeld voor elke gelegenheid. Ook voor verkoop en advies.",291,"NIEUW in de verhuur: twee stuks Chauvet Geyser P6 CO2-effect rookmachine.

Check https://t.co/ofywb4or2a... https://t.co/detICPqdXR",0,[],0,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ofywb4or2a', 'expanded_url': 'https://youtu.be/U1t2PDh4U2c', 'indices': [81, 104], 'display_url': 'youtu.be/U1t2PDh4U2c'}, {'url': 'https://t.co/detICPqdXR', 'expanded_url': 'http://fb.me/38LUVL3NJ', 'indices': [108, 131], 'display_url': 'fb.me/38LUVL3NJ'}]}",,
1300,1542,819640373559623680,819510078554439680,DrBertSmits,2017-01-12 20:21:07,802175094118383616,wilfriedwippers,17,333,Hallo iedereen! Grote fan van verzuurde beertjes.,198,RT @DrBertSmits: Dit nieuw type #windmolen wordt aangedreven door de verbranding van cash (zowat 100 EUR/MWh boven de #baseload #marktprijs…,0,[],38,"{'symbols': [], 'hashtags': [{'indices': [32, 42], 'text': 'windmolen'}, {'indices': [118, 127], 'text': 'baseload'}, {'indices': [128, 139], 'text': 'marktprijs'}], 'user_mentions': [{'id_str': '720231198988058624', 'screen_name': 'DrBertSmits', 'id': 720231198988058624, 'name': 'Bert Smits', 'indices': [3, 15]}], 'urls': []}",,
1301,1543,819639919593275395,,,2017-01-12 20:19:19,238061079,bierhaalder,150,228,,3602,Congo leeft zonder het  te weten op een CO2-bom https://t.co/E2dDJ098AH via @volkskrant,0,[],0,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '3103261', 'screen_name': 'volkskrant', 'id': 3103261, 'name': 'de Volkskrant', 'indices': [76, 87]}], 'urls': [{'url': 'https://t.co/E2dDJ098AH', 'expanded_url': 'http://s.vk.nl/t-a4447400/', 'indices': [48, 71], 'display_url': 's.vk.nl/t-a4447400/'}]}",,
1302,1544,819638802822074368,819513308567007233,Klimaatzuster,2017-01-12 20:14:53,306925791,HermansHoning,2475,2391,"Herman Pronk, oud-imker in Twente met hart voor ecologisch tuinieren. Begaan met het welzijn van de wilde bijen. #biodiversiteit #permacultuur #natuur #moestuin",20191,RT @Klimaatzuster: Kamp en Dijksma op ramkoers https://t.co/eOyyVMs7Ql Klimaatverandering ook https://t.co/KleSxysHfM #KolenUit #economie,0,[],3,"{'symbols': [], 'hashtags': [{'indices': [118, 127], 'text': 'KolenUit'}, {'indices': [128, 137], 'text': 'economie'}], 'user_mentions': [{'id_str': '112823892', 'screen_name': 'Klimaatzuster', 'id': 112823892, 'name': 'Anne-Marie Pronk', 'indices': [3, 17]}], 'urls': [{'url': 'https://t.co/eOyyVMs7Ql', 'expanded_url': 'https://fd.nl/economie-politiek/1182669/kamp-en-dijksma-op-ramkoers-over-kolencentrales', 'indices': [47, 70], 'display_url': 'fd.nl/economie-polit…'}, {'url': 'https://t.co/KleSxysHfM', 'expanded_url': 'https://cleantechnica.com/2017/01/09/climate-change-global-loss-economy-report/?utm_content=buffer687b3&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer', 'indices': [94, 117], 'display_url': 'cleantechnica.com/2017/01/09/cli…'}]}",,
1303,1546,819637429628010499,819630850996314113,tegenwindvoorst,2017-01-12 20:09:26,429052196,wolgebruik,1652,1484,"Vader,opa, voetbal WVF en PEC Z,Sassendonks karnaval,vrijwilliger Driezorg ,collumnist Herbergkrant ,Voorzitter Sassendonk-tv , lid in de orde van Oranje Nassau",30068,RT @tegenwindvoorst: @remkodepaus @martinvdhooft @WilliamDogger1 graag ook in #Zwolle #windmolen https://t.co/DldtSWhPA3,0,[],1,"{'symbols': [], 'hashtags': [{'indices': [78, 85], 'text': 'Zwolle'}, {'indices': [86, 96], 'text': 'windmolen'}], 'user_mentions': [{'id_str': '806023173493886976', 'screen_name': 'tegenwindvoorst', 'id': 806023173493886976, 'name': 'TegenwindVoorst', 'indices': [3, 19]}, {'id_str': '119322980', 'screen_name': 'remkodepaus', 'id': 119322980, 'name': 'Remko de Paus', 'indices': [21, 33]}, {'id_str': '207065804', 'screen_name': 'martinvdhooft', 'id': 207065804, 'name': 'Martin van der Hooft', 'indices': [34, 48]}, {'id_str': '1289388265', 'screen_name': 'WilliamDogger1', 'id': 1289388265, 'name': 'William Dogger', 'indices': [49, 64]}], 'urls': [{'url': 'https://t.co/DldtSWhPA3', 'expanded_url': 'https://twitter.com/de_rixt/status/819598161954172928', 'indices': [97, 120], 'display_url': 'twitter.com/de_rixt/status…'}]}",,
1304,1547,819637404013383680,,,2017-01-12 20:09:19,2979495969,newzr_nl,203,359,Al het Nederlandse nieuws op één plek. Newzr blijft op de hoogte.,237616,Congo leeft zonder het  te weten op een CO2-bom https://t.co/wRgnrJJaIJ,0,[],0,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/wRgnrJJaIJ', 'expanded_url': 'http://www.newzr.nl/wetenschap/congo-leeft-zonder-het-te-weten-op-een-co2-bom/', 'indices': [48, 71], 'display_url': 'newzr.nl/wetenschap/con…'}]}",,
1305,1548,819637080640913409,,,2017-01-12 20:08:02,328497806,veenhuizenauto,172,95,Gespecialiseerd in de verkoop en reparatie van alle merken en typen bedrijfswagen s. Altijd meer dan 175 bedrijfswagens op voorraad.,6980,Volkswagen Transporter 2.0 TDI CLIMATE CONTROL EDITION.   VJ953R 175.173 km   Prijs:   ?11.950  Me... https://t.co/Y7NneJA9Ur,0,[],0,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Y7NneJA9Ur', 'expanded_url': 'http://taggle.nl/4763108/', 'indices': [102, 125], 'display_url': 'taggle.nl/4763108/'}]}",,
1306,1549,819636677039816704,,,2017-01-12 20:06:26,1241765180,ApusNL,302,190,"Gierzwaluwen, klimaatalarmist, straatjutter. AOW",2800,"De Lagerwey L 136 4,5 MW in de Eemshaven is dus een IEC windklasse II turbine. https://t.co/R48DWPbUyX",0,[],0,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/R48DWPbUyX', 'expanded_url': 'https://twitter.com/LagerweyWind/status/819619908300525569', 'indices': [79, 102], 'display_url': 'twitter.com/LagerweyWind/s…'}]}",1.0,LagerweyWind
1307,1550,819635943644811264,,,2017-01-12 20:03:31,150603201,SP_Assen,605,281,Tweets van de fractie en de afdeling van SP Assen,425,@ADDrenthe biedt burgemeester @MarcoOut  namens de SP erepenning #Co2nee aan. Goed dat het college ook stelling nee… https://t.co/H0fdprvutQ,4,teunjan;HarrietvanEs;HenkMedema;arnethieme,3,"{'symbols': [], 'hashtags': [{'indices': [65, 72], 'text': 'Co2nee'}], 'user_mentions': [{'id_str': '291385792', 'screen_name': 'ADDrenthe', 'id': 291385792, 'name': 'Alie Dekker', 'indices': [0, 10]}, {'id_str': '49735725', 'screen_name': 'MarcoOut', 'id': 49735725, 'name': 'Marco Out', 'indices': [30, 39]}], 'urls': [{'url': 'https://t.co/H0fdprvutQ', 'expanded_url': 'https://twitter.com/i/web/status/819635943644811264', 'indices': [117, 140], 'display_url': 'twitter.com/i/web/status/8…'}]}",,
1308,1551,819635858311626756,819631948083642368,hbest1982,2017-01-12 20:03:11,1325192886,VitaleGroenStad,13758,11667,Maatschappelijke baten en functionele waarde van groen | Nationale groencompetitie Entente Florale | Operatie Steenbreek https://t.co/MyJb6Rs81h,13313,"RT @hbest1982: Big data van Bomen! Het helpt zèlfs de bij, maar ook onze gezondheid en klimaat @JoostVerhagen @WUR! @DataLabAdam https://t.…",0,[],4,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '28642583', 'screen_name': 'hbest1982', 'id': 28642583, 'name': 'Herman Best', 'indices': [3, 13]}, {'id_str': '80131593', 'screen_name': 'JoostVerhagen', 'id': 80131593, 'name': 'Joost Verhagen', 'indices': [95, 109]}, {'id_str': '20045134', 'screen_name': 'WUR', 'id': 20045134, 'name': 'Wageningen U&R', 'indices': [110, 114]}, {'id_str': '4200992434', 'screen_name': 'DataLabAdam', 'id': 4200992434, 'name': 'DataLab Amsterdam', 'indices': [116, 128]}], 'urls': []}",,
1309,1552,819635742536245248,819633690066161664,Scapeler,2017-01-12 20:02:43,791241565784182784,dmtgkh,33,38,Voorstander van schone lucht voor iedereen,1062,"RT @Scapeler: In de achtertuin, dalende luchtdruk, scherp daling fijnstof (14u regen), dalende temperatuur, vreemde piek co2 (H2O?), Dylos…",0,[],4,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '2781732464', 'screen_name': 'Scapeler', 'id': 2781732464, 'name': 'Scapeler', 'indices': [3, 12]}], 'urls': []}",,
1310,1553,819635601641275394,819525117009076224,Valentine_D_,2017-01-12 20:02:10,218853856,Rotterdam1971,546,2135,---==[ PICS ARE FREE TO USE ]==---,9830,RT @Valentine_D_: De pot verwijt de ketel dat hij een kleur is die in het huidige politieke klimaat niet gezegd mag worden,0,[],15,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '2540716364', 'screen_name': 'Valentine_D_', 'id': 2540716364, 'name': 'Valentine', 'indices': [3, 16]}], 'urls': []}",,
