,index,tweet_id,original_tweet_id,original_tweet_user,date_time,user_id,username,followers,friends,user_description,statuses,text,nr_likes,users_likes,nr_RT,entities,nr_responses,users_responses
0,0,820668397730009089,820597605172445184,enroctoob,2017-01-15 16:26:07,227655742,CodeRotterdam,625,397,#rotterdam #communicatie #kunst&cultuur @portofrotterdam #sportiefmaarnietatletisch #peettante #twittert op persoonlijke titel,4644,RT @enroctoob: #Buitenhof Rutte inzet op één klimaatdoel CO2 en geen 'getreiter' met andere doelen. Milieubeleid is innovatie: wind op zee…,0,[],1,"{'symbols': [], 'hashtags': [{'indices': [15, 25], 'text': 'Buitenhof'}], 'user_mentions': [{'id_str': '191061740', 'screen_name': 'enroctoob', 'id': 191061740, 'name': 'Corné Boot', 'indices': [3, 13]}], 'urls': []}",,
1,2,820667001429434368,,,2017-01-15 16:20:35,2366247835,Mopperwezen,857,865,RZ8e | Alles van waarde is tweetloos | Solipsists of all countries unite! | The Great Curmudgeon.,55022,Hè Martin Windmolen Sommer over post-truth. https://t.co/clyjHNAOaW,0,[],0,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/clyjHNAOaW', 'expanded_url': 'http://www.volkskrant.nl/opinie/alle-volkskrantcolumnisten-geven-hun-blik-op-2017-volg-het-hier-live~a4447884/?utm_source=twitter&utm_medium=social&utm_campaign=shared%20content&utm_content=free', 'indices': [44, 67], 'display_url': 'volkskrant.nl/opinie/alle-vo…'}]}",,
2,3,820666316323483648,820352588449271809,GerWijnhoven,2017-01-15 16:17:51,1457304996,GsSchutter,369,355,"Natuurliefhebber, jager en beheerder, hobbykok, en recht voor zijn raap , wat niet altijd gewaardeerd wordt, maar wel eerlijk.",18775,RT @GerWijnhoven: @lientje1967 En allemaal die volvo's hoeveel fijnstof en CO2 produceren die. Is geen goede vergelijking maar toch......bo…,0,[],1,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '395310286', 'screen_name': 'GerWijnhoven', 'id': 395310286, 'name': 'Ger Wijnhoven', 'indices': [3, 16]}, {'id_str': '118084079', 'screen_name': 'lientje1967', 'id': 118084079, 'name': 'Caroline vander Plas', 'indices': [18, 30]}], 'urls': []}",,
3,4,820665965566365696,820571317825114112,johan_emmens,2017-01-15 16:16:28,1685604374,jackiewp75,198,685,"melkveehoudster, moeder,echtgenote, houd van koken en eten:) Yoga, wandelen, SVN69(voetbal) the Big Stones(rugby).",2514,RT @johan_emmens: Welke sector doet ons dit na? Ook de CO2 uitstoot normen voor de landbouw voor 2020 zijn in 2015 al gehaald en dalen nog…,0,[],16,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '2755629941', 'screen_name': 'johan_emmens', 'id': 2755629941, 'name': 'Johan Emmens', 'indices': [3, 16]}], 'urls': []}",,
4,5,820665562065866755,,,2017-01-15 16:14:51,364485361,RemcoNeumann,124,172,"Port of Rotterdam | Economics, CSR & Sustainability | Respect for volunteers | Tennis & many other sports | Good food | Proud father",289,Stadswarmte in Rotterdam bespaart jaarlijks tot 70% CO2 uitstoot https://t.co/BgBTwwUWfR,0,[],0,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BgBTwwUWfR', 'expanded_url': 'https://lnkd.in/gEVS-VE', 'indices': [65, 88], 'display_url': 'lnkd.in/gEVS-VE'}]}",,
5,6,820665452242288641,820626315913154560,Niek1953,2017-01-15 16:14:25,2181964402,coverklift,74,106,M,1602,RT @Niek1953: Speciaal voor de klimaat gekkies ;-) https://t.co/uLgII9OKhK,0,[],1,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '264241703', 'screen_name': 'Niek1953', 'id': 264241703, 'name': 'Niek N', 'indices': [3, 12]}], 'urls': [{'url': 'https://t.co/uLgII9OKhK', 'expanded_url': 'https://twitter.com/Container1948/status/818942887714918400', 'indices': [51, 74], 'display_url': 'twitter.com/Container1948/…'}]}",,
6,7,820663799518785537,,,2017-01-15 16:07:51,2307261073,de_rixt,155,98,Agrarisch bedrijf|Liefhebber natuur|platteland|vergezichten|teveel om op te noemen|Inwonende Windpark Wieringermeer oa ECN testpark|Aversie tegen windturbines,3638,België heeft nog minder CO2 uitstoot per geproduceerd kWh dan Nederland. Vanwege nucleair. https://t.co/DSeMsmTQOy,0,[],0,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DSeMsmTQOy', 'expanded_url': 'https://twitter.com/HLN_BE/status/805832256149299200', 'indices': [91, 114], 'display_url': 'twitter.com/HLN_BE/status/…'}]}",,
7,8,820663519167348736,819662240156618752,jeroenschrijft,2017-01-15 16:06:44,195777985,HermanOevermans,508,262,"Echtgenoot, vader van 4 meiden, directeur Academie Mens&Organisatie CHE, en redacteur Wapenveld (interviews, levensfilosofie en religie), Bennekom",5845,RT @jeroenschrijft: Feit 1: vliegen kost 5 miljoen vaten olie per dag. 2: Impact op klimaat is enorm. 3. Aantal vluchten blijft toenemen ht…,0,[],147,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '29712419', 'screen_name': 'jeroenschrijft', 'id': 29712419, 'name': 'Jeroen Trommelen', 'indices': [3, 18]}], 'urls': []}",,
8,9,820663408815181824,820607512361758720,Pieter_Kos,2017-01-15 16:06:18,435701748,PietSchuur,105,192,,2531,"RT @Pieter_Kos: En dan maakt het niet uit of die zorgen gaan over klimaat, vluchtelingen, veiligheid of internationale stabiliteit. No answ…",0,[],2,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '22638231', 'screen_name': 'Pieter_Kos', 'id': 22638231, 'name': 'Pieter Kos', 'indices': [3, 14]}], 'urls': []}",,
9,11,820661949931356161,,,2017-01-15 16:00:30,113731511,mistraller,138,96,Solar Energy | Gadgets |  ICT | Outdoor activities | Geocaching | SNS Bank | Nienke & Bart,6357,"Opgewekte zonne-energie vandaag: 0,44 kWh -  0,20 kg CO2 vermeden ~ #SolGet Soladin monitoring https://t.co/rp4IAtlokS",0,[],0,"{'symbols': [], 'hashtags': [{'indices': [68, 75], 'text': 'SolGet'}], 'user_mentions': [], 'urls': [{'url': 'https://t.co/rp4IAtlokS', 'expanded_url': 'http://bit.ly/solget', 'indices': [95, 118], 'display_url': 'bit.ly/solget'}]}",,
10,12,820661823775117312,820193844612497408,remcodb,2017-01-15 16:00:00,468468639,w1con,200,355,Energie en Milieu expert; Oplossing voor Groningse bevingen is win-win-win voor alle stakeholders,5872,"RT @remcodb: Nieuwe etappe van m'n CO2-tournee in @FD_Nieuws: energieopslag. ""Iedereen een batterij in de berging"" https://t.co/eDYcXasugO…",0,[],26,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '22249607', 'screen_name': 'remcodb', 'id': 22249607, 'name': 'Remco de Boer', 'indices': [3, 11]}, {'id_str': '15424344', 'screen_name': 'FD_Nieuws', 'id': 15424344, 'name': 'FD Nieuws', 'indices': [50, 60]}], 'urls': [{'url': 'https://t.co/eDYcXasugO', 'expanded_url': 'https://fd.nl/morgen/1182539/iedereen-een-batterij-in-de-berging', 'indices': [115, 138], 'display_url': 'fd.nl/morgen/1182539…'}]}",,
11,13,820661389425569793,820654889906962433,roosvonk,2017-01-15 15:58:17,847819964,PcmPaulien,692,1065,,80565,"RT @roosvonk: Voorlopige cijfers klimaatplannen van politieke partijen https://t.co/BOysOAjrhV
8 is natuurlijk heel mooi, maar #hetkanbeter…",0,[],3,"{'symbols': [], 'hashtags': [{'indices': [127, 139], 'text': 'hetkanbeter'}], 'user_mentions': [{'id_str': '97662093', 'screen_name': 'roosvonk', 'id': 97662093, 'name': 'roos vonk', 'indices': [3, 12]}], 'urls': [{'url': 'https://t.co/BOysOAjrhV', 'expanded_url': 'http://sargasso.nl/klimaat-verkiezingsprogrammas-algemene-toelichting/', 'indices': [71, 94], 'display_url': 'sargasso.nl/klimaat-verkie…'}]}",,
12,14,820659724647563264,820586555094036481,decorrespondent,2017-01-15 15:51:40,441049247,evert2508,81,275,| Vader | Onderwijs | Cultuur | Geinteresseerd | Open |,93,RT @decorrespondent: In Nederland een boom planten voor je CO2-uitstoot. Met dit plan moet dat straks mogelijk zijn https://t.co/N6TFkbkm58…,0,[],7,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '1197603440', 'screen_name': 'decorrespondent', 'id': 1197603440, 'name': 'De Correspondent', 'indices': [3, 19]}], 'urls': [{'url': 'https://t.co/N6TFkbkm58', 'expanded_url': 'https://decorrespondent.nl/5999/in-nederland-een-boom-planten-voor-je-co2-uitstoot-met-dit-plan-moet-dat-straks-mogelijk-zijn/511940550352-039cf47c', 'indices': [116, 139], 'display_url': 'decorrespondent.nl/5999/in-nederl…'}]}",,
13,16,820659484188147712,,,2017-01-15 15:50:42,796560254,eMBe_Zon,60,330,Senior developer at UNIT4 - Dibis-II. Starting Golfer ;),6169,"Opbrengst zonnepanelen vandaag: 1,46 kWh - 0,68 kg CO2 reductie ~ #eMBeZon info via https://t.co/82PZZIDKBb #mbsolget",0,[],0,"{'symbols': [], 'hashtags': [{'indices': [66, 74], 'text': 'eMBeZon'}, {'indices': [108, 117], 'text': 'mbsolget'}], 'user_mentions': [], 'urls': [{'url': 'https://t.co/82PZZIDKBb', 'expanded_url': 'http://www.embezon.nl', 'indices': [84, 107], 'display_url': 'embezon.nl'}]}",,
14,17,820658583893405697,,,2017-01-15 15:47:08,2985951694,GeertPVVWilders,95,208,"Niet de Voorzitter Tweede Kamerfractie Partij voor de Vrijheid (PVV) / Chairman Party for Freedom (PVV) The Netherlands
Not really Geert.",3114,"Nationaal ZorgFonds bespaart 5,6 miljard jaarlijks (herziene berekening) en verlaagt CO2-footprint https://t.co/mlGQydSVXr
#zorgnu",0,[],0,"{'symbols': [], 'hashtags': [{'indices': [123, 130], 'text': 'zorgnu'}], 'user_mentions': [], 'urls': [{'url': 'https://t.co/mlGQydSVXr', 'expanded_url': 'http://ow.ly/4jLZ304ZMN0', 'indices': [99, 122], 'display_url': 'ow.ly/4jLZ304ZMN0'}]}",,
15,22,820656942091796480,,,2017-01-15 15:40:36,779161371908960256,eViLtOdAy_net,170,165,Anti-islam * Anti-moslim * Anti-EU * Anti-links * Eigen volk eerst * Altijd RECHTS * Revolutie * Opstand *,249,TIJD VOOR EEN ZUIVERING VAN ONS POLITIEKE KLIMAAT EN HET GEZWEL DAT ISLAM HEET! #stempvv #antiEU #fuckRutte #fuckmoslims,0,[],0,"{'symbols': [], 'hashtags': [{'indices': [80, 88], 'text': 'stempvv'}, {'indices': [89, 96], 'text': 'antiEU'}, {'indices': [97, 107], 'text': 'fuckRutte'}, {'indices': [108, 120], 'text': 'fuckmoslims'}], 'user_mentions': [], 'urls': []}",,
16,24,820656876731985920,,,2017-01-15 15:40:21,1270725414,HvMZON,5,6,,2156,"Zonnepanelen 'HUIS' Opbrengst vandaag [15-01-2017] : 1,40 kWh - 0,65 kg CO2 reductie ~",0,[],0,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': []}",,
17,25,820656625304432640,820626269620596738,gjvu,2017-01-15 15:39:21,569437369,TinekeHomans,116,109,,3642,RT @gjvu: Die verschrikkelijke droogte in Californië door helse klimaat opwarming ... nou die is er dus niet.  https://t.co/scYQQEzWEH,0,[],1,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '86321285', 'screen_name': 'gjvu', 'id': 86321285, 'name': 'Gert-Jaap van Ulzen', 'indices': [3, 8]}], 'urls': [{'url': 'https://t.co/scYQQEzWEH', 'expanded_url': 'http://www.usatoday.com/story/weather/2017/01/12/northern-california-drought-ends/96487788/', 'indices': [111, 134], 'display_url': 'usatoday.com/story/weather/…'}]}",,
18,26,820656432261500928,820654889906962433,roosvonk,2017-01-15 15:38:35,18988544,Introversum1,523,325,"Humanism, animal wellbeing, consciousness, agnosticism, running, neuroscience, musicology, early music, singing, cello, veget food, Portuguese coffee, evolution",26783,"RT @roosvonk: Voorlopige cijfers klimaatplannen van politieke partijen https://t.co/BOysOAjrhV
8 is natuurlijk heel mooi, maar #hetkanbeter…",0,[],3,"{'symbols': [], 'hashtags': [{'indices': [127, 139], 'text': 'hetkanbeter'}], 'user_mentions': [{'id_str': '97662093', 'screen_name': 'roosvonk', 'id': 97662093, 'name': 'roos vonk', 'indices': [3, 12]}], 'urls': [{'url': 'https://t.co/BOysOAjrhV', 'expanded_url': 'http://sargasso.nl/klimaat-verkiezingsprogrammas-algemene-toelichting/', 'indices': [71, 94], 'display_url': 'sargasso.nl/klimaat-verkie…'}]}",,
19,27,820655886146408449,820655284158943233,timbales,2017-01-15 15:36:24,2303248640,LaurensKuijper,444,887,"| ir. | liberaal | klimaatrealist | ""Just a Lazy Shiftless Bastard"" | imby | wartaal = gehackt | @liberaalgroen |",2572,RT @timbales: Ene partij heeft 'beter' klimaatbeleid  met meer zekerheid. Meesten willen hogere CO2-prijs mbv buren/EU. Bij allen ontbreekt…,0,[],1,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '18494161', 'screen_name': 'timbales', 'id': 18494161, 'name': 'Jos Cozijnsen', 'indices': [3, 12]}], 'urls': []}",,
20,28,820655713856974848,820654889906962433,roosvonk,2017-01-15 15:35:43,34302645,rooshaverman,186,158,A creative dreamer that loves to travel. 22. A mixture of Denglish (Dutch/English) is my trademark.,19550,"RT @roosvonk: Voorlopige cijfers klimaatplannen van politieke partijen https://t.co/BOysOAjrhV
8 is natuurlijk heel mooi, maar #hetkanbeter…",0,[],3,"{'symbols': [], 'hashtags': [{'indices': [127, 139], 'text': 'hetkanbeter'}], 'user_mentions': [{'id_str': '97662093', 'screen_name': 'roosvonk', 'id': 97662093, 'name': 'roos vonk', 'indices': [3, 12]}], 'urls': [{'url': 'https://t.co/BOysOAjrhV', 'expanded_url': 'http://sargasso.nl/klimaat-verkiezingsprogrammas-algemene-toelichting/', 'indices': [71, 94], 'display_url': 'sargasso.nl/klimaat-verkie…'}]}",,
21,31,820654889906962433,,,2017-01-15 15:32:27,97662093,roosvonk,10813,476,"psycholoog, professor, auteur | dieren, natuur, duurzaamheid | mensen, politiek, televisie | ego's, menselijke gebreken, liefde  & ellende, je bent wat je doet",24076,"Voorlopige cijfers klimaatplannen van politieke partijen https://t.co/BOysOAjrhV
8 is natuurlijk heel mooi, maar… https://t.co/ufDBGaIiuY",2,Jeannet07399596;WakkerDier,3,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BOysOAjrhV', 'expanded_url': 'http://sargasso.nl/klimaat-verkiezingsprogrammas-algemene-toelichting/', 'indices': [57, 80], 'display_url': 'sargasso.nl/klimaat-verkie…'}, {'url': 'https://t.co/ufDBGaIiuY', 'expanded_url': 'https://twitter.com/i/web/status/820654889906962433', 'indices': [114, 137], 'display_url': 'twitter.com/i/web/status/8…'}]}",3.0,elstenhengel;Jeannet07399596;hansmarsk
22,32,820654646754734080,820641160238600193,bergbrabant,2017-01-15 15:31:29,1231816688,TheGrey45,349,713,Spijt heb je morgen maar.,8575,"RT @bergbrabant: Nederland is veel te dicht bevolkt voor #windmolens.
In Polen ligt een wetsvoorstel voor min. afstand van 2 km voor

https…",0,[],3,"{'symbols': [], 'hashtags': [{'indices': [57, 68], 'text': 'windmolens'}], 'user_mentions': [{'id_str': '297669586', 'screen_name': 'bergbrabant', 'id': 297669586, 'name': 'Harry van den Berg', 'indices': [3, 15]}], 'urls': []}",,
23,33,820654334660714496,820291462931759104,MarikenLeurs,2017-01-15 15:30:15,208695443,marianterhaar,494,501,"Kenniscentrum Sport, PhD social science, doet onderzoek naar betekenis sport & cultuur verenigingen in de Achterhoek, bestuurslid Nieuw Welgelegen, 030",3417,"RT @MarikenLeurs: Indrukwekkende column! Klimaat: smeltende gletsjers of impact op kwetsbaren... 

Past helemaal bij @RHDijkgraaf als ambas…",0,[],2,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '131233613', 'screen_name': 'MarikenLeurs', 'id': 131233613, 'name': 'Mariken Leurs', 'indices': [3, 16]}, {'id_str': '586661401', 'screen_name': 'RHDijkgraaf', 'id': 586661401, 'name': 'Robbert Dijkgraaf', 'indices': [117, 129]}], 'urls': []}",,
24,34,820654068485996548,820641160238600193,bergbrabant,2017-01-15 15:29:11,754230919633010688,DeHollanderL,261,461,,9903,"RT @bergbrabant: Nederland is veel te dicht bevolkt voor #windmolens.
In Polen ligt een wetsvoorstel voor min. afstand van 2 km voor

https…",0,[],3,"{'symbols': [], 'hashtags': [{'indices': [57, 68], 'text': 'windmolens'}], 'user_mentions': [{'id_str': '297669586', 'screen_name': 'bergbrabant', 'id': 297669586, 'name': 'Harry van den Berg', 'indices': [3, 15]}], 'urls': []}",,
25,35,820653623717859328,820641160238600193,bergbrabant,2017-01-15 15:27:25,1882308859,Jan_Pijnenburg,4847,5331,"PVV,  levensmiddelentechnoloog, levensgenieter, dierenvriend, Twitter op persoonlijke titel.",31984,"RT @bergbrabant: Nederland is veel te dicht bevolkt voor #windmolens.
In Polen ligt een wetsvoorstel voor min. afstand van 2 km voor

https…",0,[],3,"{'symbols': [], 'hashtags': [{'indices': [57, 68], 'text': 'windmolens'}], 'user_mentions': [{'id_str': '297669586', 'screen_name': 'bergbrabant', 'id': 297669586, 'name': 'Harry van den Berg', 'indices': [3, 15]}], 'urls': []}",,
26,36,820652896391954432,,,2017-01-15 15:24:32,770068612308692994,lincconard,37,123,,712,#Trump ontkent #klimaatverandering; ik ontken Trump. Spreek je nu uit voor het #klimaat! https://t.co/8Xabz0arMF #peoplepower,0,[],0,"{'symbols': [], 'hashtags': [{'indices': [0, 6], 'text': 'Trump'}, {'indices': [15, 34], 'text': 'klimaatverandering'}, {'indices': [79, 87], 'text': 'klimaat'}, {'indices': [113, 125], 'text': 'peoplepower'}], 'user_mentions': [], 'urls': [{'url': 'https://t.co/8Xabz0arMF', 'expanded_url': 'http://bit.ly/2ftK1cQ', 'indices': [89, 112], 'display_url': 'bit.ly/2ftK1cQ'}]}",,
27,37,820652753546579968,820571317825114112,johan_emmens,2017-01-15 15:23:58,227396145,Wilcobonekamp,123,126,,1160,RT @johan_emmens: Welke sector doet ons dit na? Ook de CO2 uitstoot normen voor de landbouw voor 2020 zijn in 2015 al gehaald en dalen nog…,0,[],16,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '2755629941', 'screen_name': 'johan_emmens', 'id': 2755629941, 'name': 'Johan Emmens', 'indices': [3, 16]}], 'urls': []}",,
28,38,820652385865449473,820571317825114112,johan_emmens,2017-01-15 15:22:30,219432250,KwekerijWesthof,1618,1735,Kwekerij Westhof is een laanbomenkwekerij met veredelde walnotenbomen als specialiteit. Daarnaast een ruim assortiment aan laanbomen. Vraag gerust een offerte.,19019,RT @johan_emmens: Welke sector doet ons dit na? Ook de CO2 uitstoot normen voor de landbouw voor 2020 zijn in 2015 al gehaald en dalen nog…,0,[],16,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '2755629941', 'screen_name': 'johan_emmens', 'id': 2755629941, 'name': 'Johan Emmens', 'indices': [3, 16]}], 'urls': []}",,
29,39,820651772695945216,819898065452666880,stadsLAB_Saxion,2017-01-15 15:20:04,2928276442,shekiba_K,243,714,"BIMM specialist, docent & onderzoek, afdeling bouwkunde Saxion / contactpersoon BBT & FabLab, trotse moeder van twee.",1134,RT @stadsLAB_Saxion: Vandaag #SaxionOpen met aankondiging van nieuwe specialisatie Klimaat en Management bij opleiding Ruimtelijke Ontw. ht…,0,[],2,"{'symbols': [], 'hashtags': [{'indices': [29, 40], 'text': 'SaxionOpen'}], 'user_mentions': [{'id_str': '2902053045', 'screen_name': 'stadsLAB_Saxion', 'id': 2902053045, 'name': 'stadsLAB Saxion', 'indices': [3, 19]}], 'urls': []}",,
30,40,820651705050218496,820571317825114112,johan_emmens,2017-01-15 15:19:48,2996377515,raymondscheep,31,70,MPS | Duurzaamheid | Sustainability | Marketing | Coördinator Nederland / Turkije,163,RT @johan_emmens: Welke sector doet ons dit na? Ook de CO2 uitstoot normen voor de landbouw voor 2020 zijn in 2015 al gehaald en dalen nog…,0,[],16,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '2755629941', 'screen_name': 'johan_emmens', 'id': 2755629941, 'name': 'Johan Emmens', 'indices': [3, 16]}], 'urls': []}",,
31,41,820651632333647873,820571317825114112,johan_emmens,2017-01-15 15:19:30,125713574,J_Kiers_Lelies,515,306,Leliebloemenboer,5119,RT @johan_emmens: Welke sector doet ons dit na? Ook de CO2 uitstoot normen voor de landbouw voor 2020 zijn in 2015 al gehaald en dalen nog…,0,[],16,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '2755629941', 'screen_name': 'johan_emmens', 'id': 2755629941, 'name': 'Johan Emmens', 'indices': [3, 16]}], 'urls': []}",,
32,42,820651571826532352,819882136303976448,TheodeBruijn,2017-01-15 15:19:16,2928276442,shekiba_K,243,714,"BIMM specialist, docent & onderzoek, afdeling bouwkunde Saxion / contactpersoon BBT & FabLab, trotse moeder van twee.",1134,"RT @TheodeBruijn: Gezocht: pioniers met lef! 
Kom Klimaat en Management studeren bij @Saxion en werk aan veilige steden. Start september va…",0,[],11,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '456669325', 'screen_name': 'TheodeBruijn', 'id': 456669325, 'name': 'Theo de Bruijn', 'indices': [3, 16]}, {'id_str': '16805731', 'screen_name': 'Saxion', 'id': 16805731, 'name': 'Saxion', 'indices': [85, 92]}], 'urls': []}",,
33,43,820651513940938752,,,2017-01-15 15:19:02,241022320,volgzwijn,4456,5001,"80%van m'n familieleden wordt elk jaar gedood,voel mezelf opgejaagd wild,vlucht voor m'n leven over autowegen en naar dorpen,waarmee bejaging nog zwaarder wordt",47673,Het kerstrapport van @sargasso voor wat betreft het politieke klimaat in de verkiezingsprogramma's #groeiendverzet… https://t.co/ZaV5Rr1HLf,0,[],0,"{'symbols': [], 'hashtags': [{'indices': [99, 114], 'text': 'groeiendverzet'}], 'user_mentions': [{'id_str': '7504262', 'screen_name': 'sargasso', 'id': 7504262, 'name': 'Sargasso', 'indices': [21, 30]}], 'urls': [{'url': 'https://t.co/ZaV5Rr1HLf', 'expanded_url': 'https://twitter.com/i/web/status/820651513940938752', 'indices': [116, 139], 'display_url': 'twitter.com/i/web/status/8…'}]}",,
34,44,820651288442601472,820571317825114112,johan_emmens,2017-01-15 15:18:08,2404389058,GertVeninga,712,699,"@VeningaHijken #bloembollen #lelies #tulpen #bloembollenteler. Teelt van lelies, tulpen, suikerbieten en tagetes.",4756,RT @johan_emmens: Welke sector doet ons dit na? Ook de CO2 uitstoot normen voor de landbouw voor 2020 zijn in 2015 al gehaald en dalen nog…,0,[],16,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '2755629941', 'screen_name': 'johan_emmens', 'id': 2755629941, 'name': 'Johan Emmens', 'indices': [3, 16]}], 'urls': []}",,
35,46,820649652672413698,,,2017-01-15 15:11:38,16832586,mikofLohr,3654,955,"Universitair Docent Oude Geschiedenis, Leiden. Vindt dingen, meestal tevergeefs. Groen. Links. @drflohr",87539,Ik vind het nog steeds een fucking gostpe dat de PvdD doet of ze de eerste club zijn bij wie milieu en klimaat op de agenda staat. Come on.,1,LuukHuttig,0,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': []}",4.0,petrakramer;mikofLohr;__Stranger_2;mmeeuw
36,47,820647839227408384,,,2017-01-15 15:04:26,211626813,_Nieuwegein,569,19,"Al het nieuws over de regio Nieuwegein (gem. Nieuwegein, Vianen, IJsselstein en Houten)",56629,CO2 compensatie voor bedrijven https://t.co/IBLtOgnupL CO2 compensatie met een sociale impact!...,0,[],0,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/IBLtOgnupL', 'expanded_url': 'http://ift.tt/2iWPo39', 'indices': [31, 54], 'display_url': 'ift.tt/2iWPo39'}]}",,
37,50,820646613689450497,820598369911472128,enroctoob,2017-01-15 14:59:34,3122210068,rboere79,28,58,,536,RT @enroctoob: #Buitenhof Rutte over klimaat : richten op CO2 reductie als doel én in EU werkend ETS. Zo Parijse klimaatdoelen halen.,0,[],9,"{'symbols': [], 'hashtags': [{'indices': [15, 25], 'text': 'Buitenhof'}], 'user_mentions': [{'id_str': '191061740', 'screen_name': 'enroctoob', 'id': 191061740, 'name': 'Corné Boot', 'indices': [3, 13]}], 'urls': []}",,
38,52,820645374897618944,820635696889208832,Infocadl2015,2017-01-15 14:54:38,131633337,AndreVanDelft,1484,1061,"Bezorgde vader, wis- en vrijetijdskundige, programmeertaalontwikkelaar, statistiekscepticus, dierenverzorger",76266,RT @Infocadl2015: @trias_politica In het huidige zieke politieke klimaat is het realistisch om cynisme als bron van vooruitgang te zien.,0,[],6,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '3534886816', 'screen_name': 'Infocadl2015', 'id': 3534886816, 'name': 'Kees de Lange', 'indices': [3, 16]}, {'id_str': '1122896395', 'screen_name': 'trias_politica', 'id': 1122896395, 'name': 'Jean Wanningen', 'indices': [18, 33]}], 'urls': []}",,
39,54,820643906727591936,820635696889208832,Infocadl2015,2017-01-15 14:48:48,171247320,lUUk1963,956,730,https://t.co/5RoXOgFWnG Fascisme komt tegenwoordig uit linkse hoek,61311,RT @Infocadl2015: @trias_politica In het huidige zieke politieke klimaat is het realistisch om cynisme als bron van vooruitgang te zien.,0,[],6,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '3534886816', 'screen_name': 'Infocadl2015', 'id': 3534886816, 'name': 'Kees de Lange', 'indices': [3, 16]}, {'id_str': '1122896395', 'screen_name': 'trias_politica', 'id': 1122896395, 'name': 'Jean Wanningen', 'indices': [18, 33]}], 'urls': []}",,
40,55,820643186368532481,820635696889208832,Infocadl2015,2017-01-15 14:45:57,1187136625,JackMarsman,2980,2458,"Onafhankelijk, ongenuanceerd, altijd op zoek naar de waarheid. Tweet in English, Dutch, Spanish, Italian and Russian. I love Russia & Novorossiya !!",142347,RT @Infocadl2015: @trias_politica In het huidige zieke politieke klimaat is het realistisch om cynisme als bron van vooruitgang te zien.,0,[],6,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '3534886816', 'screen_name': 'Infocadl2015', 'id': 3534886816, 'name': 'Kees de Lange', 'indices': [3, 16]}, {'id_str': '1122896395', 'screen_name': 'trias_politica', 'id': 1122896395, 'name': 'Jean Wanningen', 'indices': [18, 33]}], 'urls': []}",,
41,56,820642739666780164,820528638969913344,vlietnieuws,2017-01-15 14:44:10,10069042,fvdscipio,137,122,"Zelfstandig, consultant/adviseur. Alweer 38 jaar actief in commercie en media. Reizen, koken, lezen, familie.",2146,RT @vlietnieuws: Inwoners worden ‘gek’ van windmolen https://t.co/cwo8HcJHsT,0,[],1,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '705835987809734658', 'screen_name': 'vlietnieuws', 'id': 705835987809734658, 'name': 'Vlietnieuws.nl', 'indices': [3, 15]}], 'urls': [{'url': 'https://t.co/cwo8HcJHsT', 'expanded_url': 'https://vlietnieuws.nl/2017/01/15/inwoners-worden-gek-windmolen/', 'indices': [53, 76], 'display_url': 'vlietnieuws.nl/2017/01/15/inw…'}]}",,
